S.NO,Question,Answer,Entity Extraction by human,(Fact or Claim) Extraction by human,Answer 1 ->  Answer 2 ,Answer 2 -> Answer 1,Answer 1 ->  Answer 3 ,Answer 3 ->  Answer 1 ,Answer 2 ->  Answer 3 ,Answer 3 ->  Answer 2 
1,"Hi sir, I am working in an organisation from past 7months in night shift. Recently I am diagnosed with a health issue, wherein the doctor advised me avoid night shift and change to day shift. I request the HR with the relevant medical advice note. But the HR denied and ask me to resign the job. What action can I take against them for forcibly asking me to resign even though I'm medically fit to work.( Bangalore, Karnataka )","Dear Client,If your employer is pressuring you to resign due to a medical condition requiring a shift change, despite you being medically fit for other duties, do not resign. Immediately document all communications, especially HR's denial of your shift change and their demand for your resignation, as this constitutes ""constructive dismissal"" under law.Formally communicate to HR, in writing, that you are not resigning, reiterate your medical fitness for day shift, and state that any forced resignation will be considered unlawful termination. Then, seek legal counsel from an employment lawyer to understand your rights under the Industrial Disputes Act or Shops and Establishments Act, and explore options like filing a complaint with the Labour Commissioner or pursuing legal action for unlawful termination, potentially seeking reinstatement or compensation.",constructive dismissal | employment lawyer | Industrial disputes Act | Shops and Establishments Act | Labour commissioner | ,document all communications | demand for resignation | formally communicate to HR | forced resignation is unlawful | seek legal councel | unlawful termination | reinstatement| compensation,"Precision: 0
Recall: 0
F1-Score: 0","Precision: 0
Recall: 0
F1-Score: 0",,,,
,,"Dear Client,Regardless of the sector or character of establishments, either public or private, the recruitment, transfer, promotion, placement, or rationalisation of manpower is processed following its standing HR policy, and also a prerogative of the establishment. In the absence of a vacancy or the required expertise, even if you are advised by the doctor to avoid night shift, considering your health issue, management cannot be obliged/compelled to place you in the day shift. Only in case of deviation/discrimination/mala fide in the HR policy or rules, if it appears on the face of the record, the Tribunal/Labour Court or High Court may entertain an appeal/petition challenging the well-established policy of the organization. Otherwise, a petition may be rejected at the stage of admission for lack of merit. Hence, it is suggested to consult with an Advocate experienced in service matters for tailored advice to navigate the issue in the right way.",HR policy | Tribunal/ Labour Court | High Court | Advocate experienced in service matters,"recruitment, transfer, promotion etc are processed through HR policy | prerogative of eshtablishment | management cannot be obliged/ compelled | only in case of discrimination/deviation/mala fide | HR policy | challenging the well eshtablished policy | petition may be rejected | lack of merit |",,,,,,
2,"From Last 6 months I was in sabbatical leave and after sabbatical leave there were no suitable roles and HR insisted me to resign according to leave policies and my leave end date was 15 th April and I have sent resignation on 15th may and one month it has been marked as loss of pay and now company has asking me to make final settlement of 91000( Bangalore, Karnataka )","Dear Sir,Dear SirPlease approach the following authority or similar authority in a stateThe Office Commissioner of LabourKarmika Bhavan, Dairy Circle,Bannerghatta Road, Bangalore-29.080-29753078[email protected]Addresses of Labor Inspectors in Bengaluru in different locationshttps://karmikaspandana.karnataka.gov.in/page/Contact+Us/Labour+Inspector/enhttps://clc.gov.in/clc/regional-offices/bangalore#:~:text=1.&text=Shram%20Sadan%2C%203rd%20Main%2C%203rd,Yeswanthpur%2C%20Bangalore%2D560022..=======================================================================Section 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.- (relevant section 12(2) of ID Act)(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliationofficer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]*****",The Office Commissioner of Labour Karmika Bhavan | Section 12 of Industrial Disputes Act | section 12(2) of ID act |Appropriate  Government | Conciliation officer | Memorandum of settlement | Labour court | Tribunal | National tribunal |  Board,approach the office commissioner | conciliation officer | hold conciliation proceeedings | bringing out a settlement | investigate the dispute | things that he thinks fits the purpose | come to fair and ambicable settlement | sends full report to government | ascertaining the facts and circumstances relating to the dispute | resons of account | report submitted in 14 days or shorter | time for submission may be extended  ,"Precision: 0
Recall: 0
F1-Score: 0","Precision: 0
Recall: 0
F1-Score: 0","Precision: 0.23
Recall: 0.20
F1-Score: 0.22","Precision: 0.18
Recall: 0.18
F1-Score: 0.18","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0"
,,"Dear Client,Your immediate steps should involve thoroughly examining your sabbatical leave policy and employment contract for clauses on return-to-work, role availability post-leave, and notice periods. Formally request a detailed, itemized breakdown of the Rs. 91,000/- from HR to understand its components, and simultaneously calculate any dues the company owes you, such as leave encashment or gratuity.If you believe you were pressured to resign due to the unavailability of roles a potential case of constructive dismissal, or if the deductions seem unjust, consider seeking legal advice from an employment lawyer to understand your rights and potential recourse under Indian labor laws, before agreeing to any payment. ",constructive dismissal | Indian Labour Laws,"examining your sabbatical leave policy and employment contract | clauses on return-to-work, role availability, post leave | request a detailed itemized breakdown | calculate dues the company owes  you | leave encashment or gratituity |  deductions feel unjust | seeking legal advice | understand your rights and potential recourse | before any payment",,,,,,
,,"Dear Client,In the query, you express your current situation post-sabbatical leave, but did not share the nature of legal remedies that suit you most in the given situation. However, be informed that Sabbatical leave is granted by employers to help employees take extended breaks from their routine work. This leave allows employees to pursue professional courses to enhance their skills or address personal needs. A sabbatical leave can range from three months to a year. The duration of a sabbatical leave is usually decided by the employer, and it can vary depending on the company's policies and the employee's role. Sabbatical leave may be paid, partially paid, or unpaid, depending on the employer's policy and the specific circumstances. You can even resign while on sabbatical unless your contract stipulates otherwise. While your sabbatical leave ends on 15th April, you tender your resignation on 15th May, which puts you to face a loss of one month's pay. So, if the offer of the Company for the settlement of F & F dues post resignation appears to you unreasonable or unjustified, you may escalate your grievance before the HR Head of the Company, failing which, serving a legal notice to the Company, you can make a complaint to the concerned Labour Commissioner or the Chief Inspector, Shops and Establishment seeking their intervention to resolve the grievance, provided you are a workman as defined under Section 2(s) of the Industrial Dispute Act, 1947. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking appropriate relief in the matter. If you are an employee of the IT Company then be informed that to restrict IT Companies from exploiting their employees by playing double standards, the Division Bench of the Karnataka High Court in the case of Commissioner of Income Tax v. Texas Instruments India Pvt Ltd (2021) 435 ITR unambiguously held that the IT sector employees considered to be ""workmen"" under Section 2(s) of the Industrial Dispute Act, 1947. If required, consult with an Advocate experienced in service matters for tailored advice and steps to resolve the issue in the right way.",Labour Commissioner | Cheif Inspector | Shops and Establishment Act  | Section 2(s) | Industrial Dispute Act 1947 | Division bench of Karnataka High Court | Commissioner of Income tax | Texas Instruments India Pvt Ltd(2021),"granted by employers to help employees | pursue professional courses to enhance their skills | address personal needs | can range from 3 months to an year | decided nby employer | depending on company's policy | can resign while on sabbatical leave | escalate your grievance before HR lead| failing which, seving a legal notice to the company | complaint to labour commissioner or cheif inspector | seeking intervention to resolve the greivance } if manager, file a civil suit | if employee be aware of Section 2(s) of industrial dispute act | consult advote experienced in service matters",,,,,,
3,"We hired two employees who signed a 2-year bond agreement and an offer letter before joining. Both employees absconded within a few months, violating the bond and leaving without notice. We have their signed agreements and records of communication. We want to understand how to legally enforce the bond, recover any losses incurred by the company, and send a formal legal notice to these employees.( Chennai, Tamil Nadu )","Dear Sir,You may it issue a legal notice to both of them informing them that they have left the job without intimation and caused abnormal loss to the company and you may claim any amount which is reasonable and thereafter file a suit for recovery of said amount.",Legal Notice,issue a legal notice | you may claim any amount | caouse by abmormal loss ,"Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.00
F1-Score: 0.0","Precision: 0.14
Recall: 0.25
F1-Score: 0.18","Precision: 0.50
Recall: 0.25
F1-Score: 0.33","Precision: 0.0
Recall: 0.0
F1-Score: 0.0","Precision: 0.0
Recall: 0.0
F1-Score: 0.0"
,,"Dear Client,A service/employment bond itself does not create any relationship between an employer and an employee unless and until it is followed by the essential steps required to make the Bond valid and enforceable under the law. The validity of Employment bonds can be challenged based on Section 27 of the Indian Contract Act,1872, which prohibits any agreement in restraint of trade and profession. The law states that an agreement (employment bond) will be illegal only if it restrains someone from exercising a lawful profession/ trade/ business. As per the mandate of Section 27 of the Indian Contract Act,1872, any terms and conditions of an agreement that directly or indirectly compel the employee to serve the employer or put a restriction on them joining the competitor or other employer are not valid. Under the Indian Contract Act, an employment bond is considered void under the following circumstances: (1) Agreements in which consideration and objects are unlawful in part (Section 24); (2) Agreements without consideration unless it is in writing and registered, or is a promise to compensate for something done (Section 25); (3) Agreements in restraint of marriage (Section 26); (4) Agreement in restraint of trade or profession(Section 27). However, apart from the legal validity and enforceability of a service bond, your situation is admittedly different to some extent. Once a person, after accepting an offer/appointment letter, resumes his assigned job, and leaves without notice, is considered to have committed misconduct and attracts disciplinary action following the service rules or standing orders of the establishment. The company has the right to take disciplinary action if the employee absents themselves from the workplace without notice or serving a notice period following the terms of employment, which may result in termination for proven misconduct. Even for breach of the terms of the contract employer can file a civil suit against the absconded employee for damages in case such unauthorised absence incurs financial loss to the employer. So, in the given scenario, serving a legal notice to the absconded employees, you may initiate disciplinary action against them following the principle of natural justice to terminate them for proven misconduct, and can also file a civil suit against them claiming damages. ",Service/Employment bond | Indian Contract Act | Section 27 | Section 25 | Section 26 | Section 24 | ,"employment bond does not itself create an employer–employee relationship | Validity of employment bonds can be challenged | employment bond is illegal only if it restrains someone from exercising a lawful profession | restricting them from joining competitors is not valid | Employment bonds are void if they fall under Sections 24, 25, 26, or 27 | Leaving without notice amounts to misconducts | Company has the right to take disciplinary action | file a civil suit | initiate disciplinary proceedings | Employer can claim damages in civil court",,,,,,
,,"Dear client,To address employees absconding in breach of a 2-year bond agreement, first, thoroughly review your signed agreements and meticulously document all quantifiable losses incurred, such as training and recruitment costs, as these are crucial for proving damages. Before sending a legal notice, ensure you've followed your internal HR procedures for unauthorized absence. Then, engage a lawyer to draft a formal legal notice clearly referencing the breached bond, detailing the financial losses, demanding payment within a specified timeframe, and stating your intent to pursue legal action (a civil suit for recovery of damages) if they fail to comply.While bond agreements are generally enforceable in India if reasonable and tied to demonstrable losses, prepare for a potentially lengthy civil recovery process if the employees do not settle after receiving the notice.",2-year bond agreement | signed agreements ,review your signed agreements | document all quantifiable losses | followed internal HR procedures | draft a formal legal notice | prepare for lengthy civil recovery process,,,,,,
4,"I live with my elder brother and my mother. My father expired last year. We live in a 1020 sq. Feet plot in a municipality. The name of this flat is still in my father's name. Will I be able to get EWS? I have no salary income expect stipend.( Kolkata, West Bengal )","Dear Client,To be eligible for the EWS certificate, you will have to satisfy all the following conditions: 1) You should be a ‘general’ candidate (not covered under reservation for SC, ST, or OBC). 2) Your family’s gross annual income should be below Rs. 8 lakhs. This includes income from all sources such as agriculture, salary, business, etc., for the financial year before you apply for the exam., 3) Your family should not own agricultural land of size 5 acres or more. 4) Your family should not own a residential flat of an area of 1000 square feet or more. 5) Your family should not own a residential plot (in notified municipalities) of an area of 100 square yards or more. 6) Your family should not own a residential plot (other than in notified municipalities) of an area of 200 square yards or more. The land or property owned by the family in different locations should be clubbed while checking the eligibility conditions for EWS category reservations. The definition of Family in EWS reservation means the person who seeks the benefit of reservation, his/her parents and siblings below the age of 18 years, as also his/her spouse and children below the age of 18 years. So, given the conditions of eligibility and the definition of family, when your family owns a residential flat of more than an area of 1000 sq. feet, even if it is in the name of your deceased father, you may not be considered for the issue of EWS certificate.",EWS certificate | residential plot | residential flat | agricultural land | Gross annual income,should be a  general candidate | family gross income below 8 lakhs | family should not agricultural land of 5 acres or more | should not own a residential flat of area 1000 sq ft or more | should not own residential plot (in notified municipalities) of more than 100 square yards | should not own residential plot (in other than notified municipalities ) of more than 200 sq yards | total property must be clubbed | parents and siblings below age of 18 years | spouse and children below the age of 18 years | even if it is in the name of deceased father | may not be considered for issue of EWS,"Precision: 0.4
Recall: 0.22
F1-Score: 0.28","Precision: 0.25
Recall: 0.33
F1-Score: 0.28",,,,
,,"Dear Client,You live with your elder brother and mother in a 1020 sq. feet residential plot located within a municipality, and the property is still in your deceased father's name. Your only source of income is a stipend, and assuming your total family income is below Rs. 8 lakhs annually and you do not fall under SC/ST/OBC categories, you meet the basic income and category criteria.However, EWS guidelines state that the residential flat should not exceed 1000 sq. feet in a municipal area. Since your property is slightly over the limit (1020 sq. feet), this may raise eligibility concerns. Still, since the property is inherited, not individually owned, and not yet transferred in your name, there is a possibility that the competent authority may consider your application favorably.It is advisable to consult the local Tehsildar or issuing authority, explain your situation, and submit supporting documents such as the death certificate of your father, a legal heir certificate, and an income certificate to strengthen your case.",Local Tehsildar | deatch certificate | legal heir certificate | income certificate,you meet the basic income and category criteria | residential flat must not exceet 1000 sq feet | may raise eligibility concerns | possibility that competent authority may consider | consult local tehsildar | submit supporting documents | ,,,,,,
